clade_name	t0_1	t0_2	t0_3	t1_1	t1_2	t1_3	t2_1	t2_2	t2_3	t3_1	t3_2	t3_3	t4_1	t4_2	t4_3	t5_1	t5_2	t5_3	t6_1	t6_2	t6_3
s__Kaistia_adipata	0.0	0.0	0.0	0.04317	0.0	0.02309	0.0	0.02543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Methanocella_arvoryzae	0.0	0.0	0.0	0.04146	0.0	0.0125	0.0	0.03269	0.01685	0.02314	0.0	0.00419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ensifer_sp_ENS09	0.0	0.0	0.0	0.04057	0.07562	0.05557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nitrobacter_vulgaris	0.0	0.0	0.0	0.03606	0.0913	0.06485	0.0	0.0	0.00656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Thermomonas_sp_XSG	0.0	0.0	0.0	0.03209	0.09431	0.0	0.0	0.24768	0.16109	0.11515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudaminobacter_arsenicus	0.0	0.0	0.0	0.03028	0.12914	0.01879	0.1168	0.2636	0.08784	0.3052	0.13093	0.11012	0.30686	0.1441	0.07892	0.51149	0.09167	0.1288	0.0	0.0	0.0
s__Sinorhizobium_sp_BG8	0.0	0.0	0.0	0.02945	0.00356	0.00336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Thermomonas_fusca	0.0	0.0	0.0	0.02871	0.08824	0.0	0.0	0.34609	0.20291	0.15259	0.0	0.03214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_showdoensis	0.0	0.0	0.0	0.02866	0.03408	0.18706	0.02212	0.0	0.03798	0.0	0.02729	0.0	0.0	0.0	0.00968	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseomonas_soli	0.0	0.0	0.0	0.02542	0.0	0.07914	0.00553	0.22385	0.09223	0.14158	0.017	0.09253	0.05148	0.15122	0.09183	0.02632	0.097	0.09056	0.0	0.0	0.0
s__Devosia_sp_Root105	0.0	0.0	0.0	0.02455	0.16169	0.04142	0.21509	0.01206	0.02401	0.0109	0.16783	0.02347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_griseoruber	0.0	0.0	0.0	0.02379	0.13148	0.15551	0.0724	0.08993	0.09105	0.08946	0.10605	0.04814	0.00395	0.09417	0.03142	0.0742	0.26991	0.04382	0.39747	0.24833	0.14135
s__Chitinophaga_rupis	0.0	0.0	0.0	0.02189	0.01007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lysobacter_antibioticus	0.0	0.0	0.0	0.0192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mycolicibacterium_mageritense	0.0	0.0	0.0	0.01756	0.0062	0.0	0.0	0.16636	0.00596	0.26092	0.04217	0.0	0.38355	0.08857	0.0	0.02729	0.09249	0.0	0.0	0.0	0.0
s__Shinella_sp_DD12	0.0	0.0	0.0	0.0167	0.01674	0.00854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nocardia_huaxiensis	0.0	0.0	0.0	0.01604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_sp_L_8_10	0.0	0.0	0.0	0.01298	0.02325	0.01377	0.0	0.0	0.01053	0.0	0.00282	0.0	0.0	0.03802	0.0	0.0	0.03034	0.0	0.0	0.0	0.0
s__Sphingomonas_paucimobilis	0.0	0.0	0.0	0.01263	0.0	0.01474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_luteolifulvus	0.0	0.0	0.0	0.01153	0.12507	0.06629	4.31376	0.15968	0.1455	0.088	2.02614	0.10047	0.05501	1.589	0.03326	0.19863	1.80744	0.12948	0.0	0.0	0.0
s__Rhizobium_pusense	0.0	0.0	0.0	0.01126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nocardia_asteroides	0.0	0.0	0.0	0.00905	0.0	0.0	0.04338	0.0	0.03308	0.0	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Niastella_vici	0.0	0.0	0.0	0.00886	0.0509	0.00726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nocardia_higoensis	0.0	0.0	0.0	0.0078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Planctomyces_sp_SH_PL14	0.0	0.0	0.0	0.00632	0.10199	0.00455	0.5259	0.28367	0.13449	0.15683	0.59107	0.10688	0.0	0.0218	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Aminobacter_aminovorans	0.0	0.0	0.0	0.00621	0.07685	0.00979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bosea_sp_WAO	0.0	0.0	0.0	0.00536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhizobium_sp_ARZ01	0.0	0.0	0.0	0.00497	0.00891	0.00728	0.0	0.00099	0.00627	0.0	0.0	0.00864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Azospira_restricta	0.0	0.0	0.0	0.00449	0.03723	0.01231	0.00402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Candidatus_Amoebophilus_asiaticus	0.0	0.0	0.0	0.00447	0.0	0.0	0.0	0.14439	0.00548	0.04316	0.00956	0.0	0.0	0.0	0.0	0.02472	0.0	0.0	0.0	0.0	0.0
s__Acidovorax_ebreus	0.0	0.0	0.0	0.00397	0.0	0.00505	0.48062	0.28277	0.71144	0.18776	0.0	0.24099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterobacter_sp_RHBSTW_00175	0.0	0.0	0.0	0.00287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lysobacter_soli	0.0	0.0	0.0	0.00282	0.1256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07632	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Vineibacter_terrae	0.0	0.0	0.0	0.00276	0.03673	0.00627	0.05561	0.14354	0.10365	0.08506	0.18958	0.05073	0.14595	0.53383	0.05742	0.03015	0.54833	0.0	0.0	0.0	0.0
s__Lysobacter_daejeonensis	0.0	0.0	0.0	0.00208	0.00287	0.0	0.0	0.01203	0.02498	0.0	0.0	0.00924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhizobium_sp_R693	0.0	0.0	0.0	0.00132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Arcticibacter_tournemirensis	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Cupriavidus_sp_EM10	0.0	0.0	0.0	0.0	0.36569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brucella_anthropi	0.0	0.0	0.0	0.0	0.25737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ferrovibrio_terrae	0.0	0.0	0.0	0.0	0.14532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Amycolatopsis_dendrobii	0.0	0.0	0.0	0.0	0.13152	0.0	0.06664	0.7684	0.73277	0.47559	0.00411	0.03631	0.26186	0.09256	5.50934	0.0	0.0	0.0	0.0	0.0	0.0
s__Lentzea_aerocolonigenes	0.0	0.0	0.0	0.0	0.11233	0.18432	0.10188	0.1068	0.24032	0.06044	0.19275	0.16591	0.0	2.05088	0.04662	0.0	0.01423	0.0	0.0	0.0	0.0
s__Sphingomonas_koreensis	0.0	0.0	0.0	0.0	0.09982	0.0	0.03949	0.0	0.0	0.0	1.81655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Simplicispira_lacusdiani	0.0	0.0	0.0	0.0	0.08004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Leptonema_illini	0.0	0.0	0.0	0.0	0.07061	0.0	0.38487	0.09659	0.06952	0.03178	0.09422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Devosia_sp_A16	0.0	0.0	0.0	0.0	0.04983	0.00295	0.01642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brucella_intermedia	0.0	0.0	0.0	0.0	0.04733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudolabrys_sp_FHR47	0.0	0.0	0.0	0.0	0.04707	0.0	0.0	0.0	0.0	0.0	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Microbacterium_paraoxydans	0.0	0.0	0.0	0.0	0.03824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Betaproteobacteria_bacterium_SCN2	0.0	0.0	0.0	0.0	0.03264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Burkholderiaceae_bacterium_PBA	0.0	0.0	0.0	0.0	0.01788	0.0	0.0	0.00774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_neyagawaensis	0.0	0.0	0.0	0.0	0.01563	0.0	0.0	0.0	0.0	0.0	1.38511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bradyrhizobium_guangdongense	0.0	0.0	0.0	0.0	0.01503	0.0	0.02506	0.0	0.0	0.0	0.0	0.0	0.0	0.26565	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudoxanthomonas_sp_CF385	0.0	0.0	0.0	0.0	0.01088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_plurifarium	0.0	0.0	0.0	0.0	0.0104	0.0	0.07417	0.09746	0.0	0.14737	0.20522	0.0	0.52433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nitrobacter_sp_Nb_311A	0.0	0.0	0.0	0.0	0.0101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nocardioides_luteus	0.0	0.0	0.0	0.0	0.00922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02848	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chitinophaga_chungangae	0.0	0.0	0.0	0.0	0.0063	0.0	0.48484	0.41431	0.18685	0.37585	0.53689	0.11917	0.08308	0.07634	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chitinophaga_fulva	0.0	0.0	0.0	0.0	0.00582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Hypericibacter_terrae	0.0	0.0	0.0	0.0	0.00356	0.0	0.0	0.01229	0.0	0.09783	0.02498	0.02698	0.0353	0.14309	0.0	0.0	0.04677	0.0	0.0	0.0	0.0
s__Mesorhizobium_sp_Root157	0.0	0.0	0.0	0.0	0.00317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_sp_Root552	0.0	0.0	0.0	0.0	0.00297	0.0	0.0	0.15245	0.0	0.1099	0.0	0.00158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chitinophaga_deserti	0.0	0.0	0.0	0.0	0.00283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Solirubrobacter_soli	0.0	0.0	0.0	0.0	0.00188	0.0	0.0	0.0	0.00515	0.00205	0.0	0.0	0.0	0.00678	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Miltoncostaea_marina	0.0	0.0	0.0	0.0	0.00163	0.0	0.0	0.0	0.00096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dactylosporangium_sucinum	0.0	0.0	0.0	0.0	0.00158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10943	0.0	0.0	0.0423	0.0	0.0	0.0	0.0
s__Kosakonia_pseudosacchari	0.0	0.0	0.0	0.0	0.0	0.76862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_beijerinckii	0.0	0.0	0.0	0.0	0.0	0.11334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Trabulsiella_odontotermitis	0.0	0.0	0.0	0.0	0.0	0.08872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Kosakonia_oryzendophytica	0.0	0.0	0.0	0.0	0.0	0.06559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Kosakonia_sacchari	0.0	0.0	0.0	0.0	0.0	0.05456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Cellvibrio_sp_pealriver	0.0	0.0	0.0	0.0	0.0	0.04465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pusillimonas_sp_TS35	0.0	0.0	0.0	0.0	0.0	0.02261	0.0	0.55866	0.11426	0.22362	0.0	0.13555	0.1516	0.0	0.0952	0.20375	0.0	0.14705	0.0	0.0	0.0
s__Micromonospora_aurantiaca	0.0	0.0	0.0	0.0	0.0	0.0144	0.05684	0.20501	0.37332	0.0	0.0	0.15177	0.0	0.14041	0.27683	0.05967	0.07383	0.08579	0.0	0.0	0.0
s__Acetonema_longum	0.0	0.0	0.0	0.0	0.0	0.01351	0.0	0.03433	0.14546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_roseicoloratus	0.0	0.0	0.0	0.0	0.0	0.01326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_butyricum	0.0	0.0	0.0	0.0	0.0	0.01111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02963	0.0	0.0	0.0	0.0	0.0	0.0
s__Peribacillus_asahii	0.0	0.0	0.0	0.0	0.0	0.0	2.00174	5.12763	18.26362	5.53054	2.12048	22.72092	6.7043	2.04304	25.1389	9.27073	5.76841	33.83132	0.0	0.0	0.0
s__Sphingopyxis_sp_H057	0.0	0.0	0.0	0.0	0.0	0.0	1.17869	0.12779	0.58872	1.23143	0.48971	0.60834	0.47726	0.19413	0.11677	0.15782	0.0	0.01878	0.0	0.0	0.0
s__Sandaracinus_amylolyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.66103	0.06072	0.08466	0.13998	0.6338	0.11258	0.03691	0.65024	0.08353	0.10102	1.01353	0.23981	0.0	0.00987	0.0
s__Criblamydia_sequanensis	0.0	0.0	0.0	0.0	0.0	0.0	0.55992	0.01193	0.03944	0.0	0.58524	0.0	0.0	0.40696	0.02551	0.0	0.26858	0.0	0.0	0.0	0.0
s__Pseudoflavitalea_rhizosphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.47661	0.0359	0.09179	0.08967	0.37654	0.17064	0.01197	0.02909	0.0	0.0	0.13	0.0	0.0	0.0	0.0
s__Sphingopyxis_soli	0.0	0.0	0.0	0.0	0.0	0.0	0.26284	0.02459	0.22741	0.04568	0.09663	0.07811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Catellatospora_bangladeshensis	0.0	0.0	0.0	0.0	0.0	0.0	0.24293	0.05762	0.00352	0.02666	0.32816	0.0905	0.24876	0.3788	0.01076	0.3246	0.27458	0.02996	0.0	0.0	0.0
s__Achromobacter_mucicolens	0.0	0.0	0.0	0.0	0.0	0.0	0.08505	0.0	0.0	0.0	0.75839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudomonas_stutzeri	0.0	0.0	0.0	0.0	0.0	0.0	0.02747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Microlunatus_parietis	0.0	0.0	0.0	0.0	0.0	0.0	0.02052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Vitreimonas_flagellata	0.0	0.0	0.0	0.0	0.0	0.0	0.01777	0.0	0.00094	0.0	0.05965	0.0	0.0	0.09894	0.0	0.0	0.019	0.0	0.0	0.0	0.0
s__Thauera_sp_2A1	0.0	0.0	0.0	0.0	0.0	0.0	0.01106	0.34497	0.28737	0.40866	0.00158	0.24438	0.13385	0.08235	0.03533	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudomonas_sp_A_1	0.0	0.0	0.0	0.0	0.0	0.0	0.00421	0.0	0.11954	0.0	0.0	0.02131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chitinophaga_cymbidii	0.0	0.0	0.0	0.0	0.0	0.0	0.00142	2.00457	0.19789	0.63529	0.03139	0.00628	0.0	0.0	0.17423	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_composti	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34141	0.03771	1.17994	0.00787	0.00889	0.35848	0.0	0.0	0.18234	0.0	0.0	0.0	0.0	0.0
s__Microbacterium_sp_SYP_A9085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65859	0.45167	0.62969	0.0	0.43576	0.41331	0.0	0.18155	0.5065	0.0	0.07893	0.0	0.0	0.0
s__Chitinophaga_alhagiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20919	0.17534	0.14575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodococcus_aetherivorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17812	0.35623	0.0	0.0	0.30996	0.06525	0.0	0.15435	0.06907	0.0	0.27619	0.0	0.0	0.0
s__Rhodanobacter_denitrificans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16207	0.03424	0.1225	0.0	0.01979	0.0	0.0	0.01486	0.0	0.0	0.0	0.0	0.0	0.0
s__Lysinibacillus_composti	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10086	1.32406	0.04227	0.0	1.36246	0.16538	0.0	1.57459	0.19598	0.023	2.43298	0.0	0.0	0.0
s__Afipia_carboxidovorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09494	0.0	0.07377	0.0	0.0	0.1652	0.0	0.0	0.06442	0.0	0.0	0.0	0.0	0.0
s__Micromonospora_chersina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08368	0.13128	0.21975	0.0532	0.38351	0.12141	0.0	0.38696	0.05272	0.0	0.20398	0.0	0.0	0.0
s__Aromatoleum_petrolei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08054	0.01684	0.02547	0.0	0.02108	0.10474	0.15222	0.03767	0.03486	0.11161	0.02558	0.0	0.0	0.0
s__Castellaniella_defragrans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07508	0.0	0.00457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Agriterribacter_humi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06736	0.00982	0.04745	0.0	0.02183	0.00982	0.0	0.0	0.02173	0.0	0.00141	0.0	0.0	0.0
s__Pseudonocardia_dioxanivorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06355	0.14355	0.2462	0.0646	0.10412	0.01887	0.07329	0.05611	0.00955	0.02428	0.0	0.0	0.0	0.0
s__Amycolatopsis_benzoatilytica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodanobacter_sp_LX_99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Planctomyces_sp_SH_PL62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01226	0.0071	0.02064	0.0	0.00466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Microbacterium_sp_YJN_G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00895	0.0	0.02405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacillus_sp_DNRA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00723	0.28423	0.00657	0.0	0.23459	0.00673	0.0	0.30651	0.06573	0.0	0.57255	0.0	0.0	0.0
s__Sphingomonas_sediminicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00676	0.0	0.00654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mycoplana_dimorpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00658	0.01077	0.0	0.0	0.00477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Paenarthrobacter_ureafaciens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00589	0.28155	0.0	0.0	0.09244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Agromyces_mediolanus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pedococcus_cremeus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Anaeromyxobacter_sp_Fw109_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Acinetobacter_kookii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Leptospira_bourretii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodococcus_sp_CX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05828	0.0	0.0	0.02007	0.0	0.0	0.0	0.0	0.0	0.02468	0.0	0.0	0.0
s__Lysinibacillus_sp_BW_2_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05702	0.0	0.0	0.0563	0.0	0.0	0.05107	0.0	0.0	0.23338	0.0	0.0	0.0
s__Bacillus_marasmi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0451	0.0	0.0	0.0598	0.0	0.0	0.05236	0.0	0.0	0.16706	0.0	0.0	0.0
s__Nocardia_nova	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudobacter_ginsenosidimutans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01689	0.0	0.00413	0.00283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Micromonospora_echinaurantiaca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00369	0.0	0.0	0.00247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodococcus_phenolicus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Amycolatopsis_nivea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ilumatobacter_sp_SYSU_D60003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03272	0.00586	0.02889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB44392_SGB61810	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00309	0.01783	0.0	0.02314	0.01633	0.0	0.0	0.02935	0.0	0.0	0.0	0.0
s__Chitinophaga_niabensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Jiangella_mangrovi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08085	0.0	0.0	0.0	0.0	0.0	0.11049	0.0	0.0	0.0	0.0
s__Mycobacterium_sp_KBS0706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03137	0.0	0.0	0.07219	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Candidatus_Nitrosocosmicus_hydrocola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01948	0.0	0.0	0.04126	0.0	0.0	0.01399	0.00485	0.0	0.0	0.0
s__Nitrospira_japonica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00888	0.0	0.02661	0.11834	0.02785	0.07543	0.09863	0.01053	0.0	0.0	0.0
s__Fulvivirgaceae_bacterium_PWU4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00758	0.0	0.0	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinocorallia_populi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
